article_id,title,body_non_ws_chars,semantic_chunk_count,semantic_core_non_ws_chars,fixed_chunk_count,has_semantic_chunks,has_fixed_chunks
101,中国房地产市场正在去泡沫化,4075,4,4071,3,true,true
102,盈虚之有时,8999,16,8825,16,true,true
103,房地产市场向何处去？,4584,8,4517,6,true,true
104,守望春华,17408,23,17290,18,true,true
105,中国的城市化与房地产市场（二）,5823,7,5773,6,true,true
106,中国的城市化与房地产市场（三）,3803,6,3788,5,true,true
107,站到拐点，我终于找到了房价上涨的主导性因素！,13516,17,13429,13,true,true
108,房地产库存已明显低于长期合理水平,2893,3,2893,2,true,true
109,地方政府和少数国企是当前杠杆问题的关键所在,3322,4,3322,3,true,true
110,从供需入手，因地制宜解决房地产问题,5965,7,5908,6,true,true
111,风物长宜放眼量,12866,16,12777,13,true,true
112,沉舟侧畔千帆过,13404,20,13239,16,true,true
113,2022年市场从何处来、向何处去？,2493,3,2493,2,true,true
114,物转星移又一秋,12819,23,12449,20,true,true
115,宏观经济基本环境分析和对消费变化的思考,2202,3,2198,2,true,true
116,道是无晴却有晴,11671,17,11552,14,true,true
117,关于当前房地产市场的几个问题,4423,5,4419,4,true,true
118,奋楫逐浪天地宽,13260,16,13208,13,true,true
119,房地产市场正在经历三方面调整，供应侧措施更重要,2119,3,2115,2,true,true
120,产业结构转型与消费驱动转型,4872,5,4868,4,true,true
121,关于促进房地产市场止跌回稳，加快建立房地产业务新模式的几点思考,3673,6,3567,5,true,true
122,产业升级：星星之火悄然孕育,1645,2,1645,2,true,true
123,短周期工业品价格的“蜜月期”快结束了吗？,2738,5,2661,5,true,true
124,雾霾从哪里来？,1803,2,1803,2,true,true
125,僵尸企业特别多的行业都是国有资本集中的行业,2515,3,2515,2,true,true
126,观察经济结构变化的三个维度,2638,3,2638,2,true,true
127,走进新时代,16099,27,15796,22,true,true
128,怎样看待中美国债利率倒挂？鲍威尔“转鸽”后续如何？,2991,3,2991,3,true,true
129,反者道之动,9440,14,9359,12,true,true
130,大宗商品价格上涨的原因、趋势及政策应对,5199,6,5195,4,true,true
131,碳中和与双循环,2659,4,2591,3,true,true
132,能源短缺与碳达峰,3387,4,3383,3,true,true
133,“产能过剩”问题观察：历史规律、现实背景与应对策略,3248,6,3096,4,true,true
134,贸易盈余趋势性下降的前因后果,4254,5,4254,4,true,true
135,一个基于国际收支变化的分析框架——产能周期理论概述之二,2852,6,2785,5,true,true
136,总供求平衡与国际收支波动,123,1,123,1,true,true
137,供给侧也有“三驾马车”,943,1,943,1,true,true
138,进口大幅增长 经济数据积极,3491,7,3162,7,true,true
139,中美关系已进入修昔底德陷阱,3447,4,3442,3,true,true
140,中美贸易战的走向,1137,1,1137,1,true,true
141,经济下行风险累积,2834,6,2755,4,true,true
142,中美贸易战影响如何？,5542,6,5538,4,true,true
143,外需走弱内需疲软，水泥强势值得关注,2845,3,2845,2,true,true
144,进出口走势不容乐观，托底政策将持续出台,798,1,798,1,true,true
145,静水深流,7980,11,7923,9,true,true
146,贸易战对实体经济的影响如何,1241,1,1241,1,true,true
147,让历史照亮未来,1696,2,1692,2,true,true
148,吹尽狂沙始到金,19551,28,19255,24,true,true
149,美国利率顶部依稀在望，全球经济或将步入衰退,1653,2,1649,2,true,true
150,贸易失衡的趋势性与周期性分析,2939,3,2935,3,true,true
151,落实国资划转社保决策宜早不宜迟,1483,2,1479,1,true,true
152,新冠肺炎疫情对全球金融市场和国内实体经济的影响,7592,8,7588,6,true,true
153,新冠疫情下的全球金融动荡,4605,5,4601,4,true,true
154,新冠疫情常态化如何影响经济运行——微观机理、数值估计与政策应对,5576,7,5568,5,true,true
155,变局之中开新局,9153,12,9058,10,true,true
156,后疫情时代的经济与市场,4248,7,4163,6,true,true
157,经济恢复现分化，政策干预需更有针对性,2712,3,2708,2,true,true
158,守得云开见月明,10860,14,10812,11,true,true
159,疫情下经济恢复的几个特征事实,6452,8,6390,7,true,true
160,定向补贴是降低疤痕效应最有效方法,2938,3,2934,3,true,true
