id,title,category,content_type,date,date_precision,minutes,file,source_file,source_epub,source_epub_sha256,non_ws_chars,cjk_chars,image_count,image_alts,excerpt,legacy_v3_ids,update_status,source_body_sha256,markdown_file_sha256,markdown_body_cjk_similarity,heading_count_source,table_count_source,chart_table_count_source
011,送别母亲,成长、追忆与评论,essay,2024-02-18,day,3,02_markdown_articles/011_2024-02-18_送别母亲.md,OEBPS/text/article-011-essay-2024-02-18-1ifohxo.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,1959,1709,0,,今天，我们怀着十分悲伤的心情送别我的母亲，共同缅怀她勤劳节俭的一生，铭记她为养育我们姐弟六人而付出的艰辛和牺牲，感恩她用自己的善良和热情温暖了身边的每一个人，祝愿她在天堂之上与父亲顺利会合，希望他们的在天之灵能够用慈...,010,retained_exact,ae530027daacd2f8cd7fba0dbc20752dd98909e3a13c2cbbd9eda6fab7c23df6,69fe2f0a9ac03a5241e71e2c76c062a1c4a8f0b413231f1901f05538d3f6f616,1.00000000,0,0,0
012,《金钱永不眠》书评,成长、追忆与评论,commentary,,unknown,2,02_markdown_articles/012_《金钱永不眠》书评.md,OEBPS/text/article-012-commentary-undated-12935ru.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,1240,1112,0,,评《金钱永不眠-资本世界的暗流涌动和金融逻辑》,017,retained_revised,365d01af33b1e2230901a97fedef71e03bf92c441de3cc5576467cd155e230af,881c568c009ed1092c2bd0bd164b8d828f375b2e900f24c58056fd71c6cb09ff,1.00000000,0,0,0
013,一块金币引发的思考,代表作与研究方法,analysis,2009-09-09,day,4,02_markdown_articles/013_2009-09-09_一块金币引发的思考.md,OEBPS/text/article-013-analysis-2009-09-09-cf40-193.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,2698,2183,5,图1：彩金币的价格（元） | 图2：剔除黄金价格的影响后彩金币的价格（元） | 图3：指数化后的剔除了黄金价格影响的彩金币的价格与股指 | 图4：指数化后的剔除了黄金价格影响的彩金币的价格与股指 | 图5：“贵妃醉酒”与“群英会”的价格（元）,本文考察了彩金币“贵妃醉酒”的价格走势，发现彩金币价格的变化与股票市场在拐点和趋势上都十分类似，与其它类资产的表现也存在一定的相关性。而且，指数化的剔除黄金价格后的“贵妃醉酒”彩金币价格与股票市场的指数涨落的幅度也非...,,new_in_v4,7faf1333dcb868b8b865fb788fde038bd0c2d87b6cc19f5aef24f03659d51830,577d5d2d0af7d021f55cdaa824d2d20fef532160a91bc214ad729cac170548e2,1.00000000,0,0,0
014,三十年未有之变局——中国潜在增速的趋势转折,代表作与研究方法,representative,2010-10-12,day,10,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,OEBPS/text/article-014-representative-2010-10-12-1b8qs6i.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,6857,6000,0,,这是作者与同事在2010年10月份撰写的一篇研究报告，主要讨论2011-2020年中国经济潜在增速的变化，以及由此对政策当局带来的挑战和潜在的市场影响。5年以后回头来看，这篇报告的基本想法似乎得到了或者正在得到验证。...,019,retained_exact,31a27b47dfa4966ed7648efcfc11655180caa25ff05ac03e1ca851b913cf95f9,75f1df5cad5d21e0d2045c9959b168a7e8c0308ca8dffa467435eec39ff28173,1.00000000,14,0,0
015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,代表作与研究方法,representative,2011-04-27,day,18,02_markdown_articles/015_2011-04-27_光线是可以弯曲的–关于研究方法的一些体悟和浅见.md,OEBPS/text/article-015-representative-2011-04-27-e2sypg.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,12171,10916,0,,正确的方法有助于使我们更好地理解市场运行的内在逻辑，从而降低预测失败的概率。我们通过十个小故事，来讲述对研究方法的一些想法和体会。,020,retained_exact,74e5ec2ec3bb2dbca4b567e56d18e797ed80ed882e9a1ffe79a0d7b56617e2c8,7af9f81c65035b10ef1580708c06ec652c7038c766c11c9e904da54a756d51c1,1.00000000,1,0,0
016,中国经济是否经过了刘易斯拐点？,代表作与研究方法,analysis,2011-11-25,day,10,02_markdown_articles/016_2011-11-25_中国经济是否经过了刘易斯拐点.md,OEBPS/text/article-016-analysis-2011-11-25-z31s07.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,6666,5764,0,,本文首先回顾了刘易斯拐点的概念，然后从理论上寻找经济走过刘易斯拐点的判别方法。中国的刘易斯拐点，正如暗物质一样，直接处理这个问题非常困难，比如我们很难观察到劳动力供应曲线的变化；我们缺乏工资和就业宏观层面可靠的统计数...,027,retained_exact,eb3178d94d2281a632f0323d0517d83f27119c3bc37db1940a0f716ee38bbee9,23b57b12e61ca0f1e290d09ea2380fb0571d104dcb92fa439372359752cfb85e,1.00000000,15,0,0
017,《经济运行的逻辑》前言,代表作与研究方法,analysis,2012-12-30,day,4,02_markdown_articles/017_2012-12-30_《经济运行的逻辑》前言.md,OEBPS/text/article-017-analysis-2012-12-30-1fltqdh.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,2473,2292,0,,承蒙中国金融40人论坛的王海明秘书长一再催请，我将过去从事市场研究期间的一些想法进行了整理，并付梓印刷，以供对中国经济和资本市场有一些兴趣的人士参考和批评。,035,retained_exact,d557db2193c7f94c4823c1995aa409258237d0d2bbeddcef74aa027458dd62d6,3abe3efccdd1baca7ad2b7c0643e41b178b14fe3ccb44b671a33208f7e6feb5d,1.00000000,0,0,0
018,经济数据背后的逻辑,代表作与研究方法,analysis,2013-10-26,day,7,02_markdown_articles/018_2013-10-26_经济数据背后的逻辑.md,OEBPS/text/article-018-analysis-2013-10-26-cf40-1458.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,4636,4027,13,图1 可贸易部门的供给与需求 | 图2供应释放对可贸易部门的影响 | 图3 贸易盈余占比上升 | 图4 排除内需萎缩：国内总产出扩张 | 图5 观察外需：发达与新兴工业产出同比 | 图6 观察外需：可贸易品价格 | 图7 观察外需：中国出口额和出口量同比 | 图8 观察汇率：人民币有效汇率指数 | 图9总供应释放相关证据：核心CPI低位运行 | 图10 城镇就业增速上升 | 图11城镇单位平均工资指数 | 图12 资本存量上升的原因 | 图13贸易盈余占比（%）,提要：无论是经济的总供给变化、总需求变化，还是国际环境的变化，均可对总产出、经常账户盈余和价格水平产生同步影响。基于此，文章的模型有三个收入变量：经济总供给、经济总需求和外部需求。这三个变量的变化会引起价格、总产出和...,,new_in_v4,6d275269f6b72806d101ff3ccd85647136a66a949b353cf495d515a71a83b6fb,cd119407408e0952bd9acc746fa7ee465702c9ecacb405dc7f89288268301eb2,1.00000000,0,0,0
019,市场预测的可能与不可能,代表作与研究方法,analysis,2014-09-18,day,5,02_markdown_articles/019_2014-09-18_市场预测的可能与不可能.md,OEBPS/text/article-019-analysis-2014-09-18-z3ob9o.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,3015,2743,0,,2012年夏初，有位清华大学的研究生写信给我，谈到他在实习期间从事市场研究过程中的一些困惑，希望我能够提一些建议。以己昏昏，使人昭昭，这显然是我难以胜任的工作，并且还有误人子弟的风险。但想来想去，借这个机会谈一点我的...,051,retained_exact,da57fbd3a9cff9d590f97c513bf5b59aeba146a89c3e613e05853d457aba93b8,fd24d831683b78c267bfab40b37dc946f027c18b714f3954c4603a7f00422256,1.00000000,0,0,0
020,中美贸易摩擦深处的忧虑,代表作与研究方法,representative,2018-07-31,day,18,02_markdown_articles/020_2018-07-31_中美贸易摩擦深处的忧虑.md,OEBPS/text/article-020-representative-2018-07-31-lrxbyg.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,12351,11156,0,,随着中国经济实力和综合国力的提升，世界经济无可避免地正在进入G2格局，这对目前的全球经济治理体系形成重大挑战，中美之间的摩擦和潜在冲突由此势所难免。,089;090,consolidated_from_v3,9b41abd58c529ae4e9909755770505973bbe7fd334990a474b786b19d488af9b,f5bca79e89435f578b4d4dd67b63dbbbf28567a5f4ca341de26821e23b3be25c,1.00000000,5,0,0
021,通胀趋势与风险分析,周期、通胀与人口,analysis,2009-09-29,day,9,02_markdown_articles/021_2009-09-29_通胀趋势与风险分析.md,OEBPS/text/article-021-analysis-2009-09-29-cf40-203.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,5848,5007,4,文章图表 | 文章图表 | 文章图表 | 文章图表,大概在十几年前，我就试图比较系统地考察中国通胀问题，当时花了很多精力，但始终一头雾水，不得要领。后来因为工作的原因，特别是过去六七年，几乎每年、每个季度都会面临对这个问题的分析和判断。在这个过程中，我逐步积累和形成了...,,new_in_v4,ef19148a7772cc6bc813b6d6156bb9f0fe6f98bf4c84cdd3db99fbcf898244a6,611d3288d0dc6634ce447f259d1a8bbcda21da4021cd977b342e0a8f62493479,1.00000000,0,0,0
022,上升的地平线——刘易斯拐点与通胀裂口,周期、通胀与人口,analysis,2010-09-02,day,18,02_markdown_articles/022_2010-09-02_上升的地平线——刘易斯拐点与通胀裂口.md,OEBPS/text/article-022-analysis-2010-09-02-cf40-435.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,11441,9289,33,图 1：日本实际工资指数同比（%） | 图 2：日本的 PPI 和 CPI（%） | 图 3：日本 CPI 分类同比变化（%） | 图 4：日本 CPI 鲜菜和个人护理（%） | 图 5：CPI、PPI 和 CPI 食品的定基数（1993=100） | 图 6：中国三种粮食平均单位产量的成本趋势（1990=100） | 图 7：CPI 和 CPI 家庭服务及加工维修服务费同比变化（%） | 图 8：中国种粮单位劳动动力机会成本（元/日） | 图 9：中国不同劳动力密集农产品的累计涨幅（2000 年-2007 年） | 图 10：中国不同劳动力密集农产品的生产者价格潜在涨幅 | 图 11：中国过去二十年的 CPI 和 PPI 的变化（%） | 图 12：发电设备平均利用小时 | 图 13：中国过去十年的 CPI 和 PPI 的变化（%） | 图 14：CPI 鲜菜的两年复合同比增长率（%） | 图 15：CPI 粮食的两年复合同比增长率（%） | 图 16：韩国实际工资指数同比（%） | 图 17：韩国的 PPI 和 CPI（%） | 图 18：韩国的 CPI 食品和 CPI 非食品（%） | 图 19：台湾实际工资指数同比（%） | 图 20：台湾的 WPI 和分类 CPI（%） | 图 21：日本各部门通胀和生产效率进步（1961 年-1992 年） | 图 22：美国各部门通胀和生产效率进步（1962 年-1991 年） | 图 23：中国不同劳动力密集农产品的累计涨幅（2000 年-2007 年） | 公式 | 公式 | 公式 | 公式 | 图 23：中国不同劳动力密集农产品的累计涨幅（2000 年-2007 年） | 公式 | 图 23：中国不同劳动力密集农产品的累计涨幅（2000 年-2007 年） | 公式 | 公式 | 图 24：中国不同劳动力密集农产品的生产者价格潜在涨幅,未来几年中国CPI波动的中轴水平将出现系统性抬升，从过去十年2%的均值 水平上升到 3-4%。由于同期 PPI 的波动中轴大体稳定，CPI 与 PPI 之间将形成明 显的通货膨胀裂口。,,new_in_v4,576e7f79571ee012d009f418636ddbfd9670dc231efac9ee14d5020408ad92d3,a6efa9759b2d931bc8f9c79955f1bb430c2d4d02344d29235491148d08824d8a,1.00000000,0,0,0
023,2011看波段,周期、通胀与人口,analysis,2011-01-31,day,3,02_markdown_articles/023_2011-01-31_2011看波段.md,OEBPS/text/article-023-analysis-2011-01-31-cf40-574.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,1438,1243,0,,2011年很难是一个单边上涨的牛市，一季度、四季度的表现将好于二季度、三季度,,new_in_v4,b2e98f5bc60a36e0d4698a49923513c06e123b170ec4ea25badb0b41df56420e,1bb16f68ee44102c6a2ca94dde7efaf11caa7cd7da56ec3665701af2868606f5,1.00000000,0,0,0
024,掀开货币的面纱之二– 产出缺口与通货膨胀,周期、通胀与人口,analysis,2011-06-08,day,7,02_markdown_articles/024_2011-06-08_掀开货币的面纱之二–_产出缺口与通货膨胀.md,OEBPS/text/article-024-analysis-2011-06-08-nl9vt9.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,4628,4138,0,,在“面纱”系列一中我们已经看到用货币供应量来预测短期通货膨胀可能会有很大问题。在本文中作者分析了另一流行的通胀预测思路，即产出缺口方法。 利用这一方法预测中国通货膨胀形势，缺乏严密理论基础的，实践风险很大。我们在此感...,022,retained_exact,811129cd3e173e1a320102a3ce9174687c15f012d156332756fbdf0fad2dfc6a,e8790fab51dc158477af3db2f3c205abfce144530aa7b6e0b0253552c1d70944,1.00000000,6,0,0
025,通货膨胀的理解框架,周期、通胀与人口,analysis,2011-06-17,day,7,02_markdown_articles/025_2011-06-17_通货膨胀的理解框架.md,OEBPS/text/article-025-analysis-2011-06-17-1mbdi65.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,4464,3972,0,,在货币面纱系列中我们已经看到，无论是使用货币总量方法还是产出缺口方法来预测中国的中短期通货膨胀，在理论基础上和实践操作中恐怕都是有一些问题的。作者在本文中对中国通货膨胀的理解框架进行了进一步的思考。我们对通货膨胀的看...,023,retained_exact,7bcf1004ac9eff3987f572b2943b30066fd4d558d6686a0aafb5a29b175cb805,b3b5ea2d8168b12a4b7594d0759d54e740496e4ead90a727f05da5e124c68b4d,1.00000000,5,0,0
026,潮水退去,周期、通胀与人口,analysis,2011-07-14,day,17,02_markdown_articles/026_2011-07-14_潮水退去.md,OEBPS/text/article-026-analysis-2011-07-14-cf40-694.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,11701,10159,23,图1：CPI 增速预测（%） | 图2：猪粮比 | 图3：中美PPI 同比增速（%） | 图4：全球工业同比增速与中国规模以上工业同比增速 | 图5：OECD 工业同比增速与中国规模以上工业同比增速（%） | 图6：全球工业指数季度环比增速（%，季调） | 图7：OECD 工业指数季度环比增速（%，季调） | 图8：中国不同劳动力密集农产品的累计涨幅（2000 年-2007 年） | 图9：中国不同劳动力密集农产品的累计涨幅（1990 年-2000 年） | 图10：城乡月度CPI 蔬菜价格增速差（%，农村-城市） | 图11：城乡社会消费品零售增速差（县-城市，%） | 图12：加权平均利率绝对值（%） | 图13：加权贷款利率较基准利率上浮（%） | 图14：第二产业名义增速与GDP 名义增速（%） | 图15：社会融资总量同比增速与贷款增速（%） | 图16：社会融资总量同比增速II（%） | 图17：贸易盈余占名义GDP 比例（季度，%） | 图18：名义和实际贸易盈余占比（%） | 图19：工业企业利润率（%） | 图20：工业企业下游利润率（%） | 图21：工业企业中游利润率（%） | 图22：工业企业上游利润率（%） | 图23：工业企业上、中、下游增加值占比图,本轮通货膨胀的潮水可能正在退去。我们预计通货膨胀的高点将在最近一两个月出现，随后通胀将波动下行，并在明年2季度下降到3%甚至更低的水平。,,new_in_v4,0b93a455bc1b5bcb3c167db9c90906f9094985c3544f8ee7935048f0cbbcfde8,e325b75e07f797a30b049a6dda181c9ffac1c1f8fe10f90f4c176802d5f5f7a4,1.00000000,0,0,0
027,货币与通胀长期关系的简要回顾,周期、通胀与人口,analysis,2011-08-19,day,8,02_markdown_articles/027_2011-08-19_货币与通胀长期关系的简要回顾.md,OEBPS/text/article-027-analysis-2011-08-19-cf40-740.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,4701,3943,6,图1：货币供应量增速与通货膨胀率 | 图2：货币供应量增速与通货膨胀率 | 图2：货币供应量增速与通货膨胀率 | 公式 | 图2：货币供应量增速与通货膨胀率 | 公式,货币主义一般认为在长期内货币与通胀之间存在稳定和紧密的联系；在一些研究中，有些学者进一步认为货币供应甚至在短期内都可以提供关于经济增长和通货膨胀的可靠预测。本系列以文献调查为基础，结合必要的经验数据，回顾和总结了货币...,,new_in_v4,f4eb7d4b74d7bb1fe5e8ba0a1dccaadaecd893ff6266eae7d12b5cb7a80732d9,4d1810e84246c695be731b4205ecc0846495dc8cf3e5a58df15afd190a1cee50,1.00000000,0,0,0
028,掀开货币的面纱之三-中国的通货膨胀与货币供应,周期、通胀与人口,analysis,2011-08-22,day,14,02_markdown_articles/028_2011-08-22_掀开货币的面纱之三-中国的通货膨胀与货币供应.md,OEBPS/text/article-028-analysis-2011-08-22-1aj4ecp.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,9488,8481,0,,在掀开货币的面纱系列前两篇报告中我们提到，利用货币供应量和产出缺口预测中国的通货膨胀存在理论和实践上的困难。因此需要进一步分析影响中国通货膨胀的更为核心的因素。,024,retained_exact,6c117325d110345521609cd33a466112d046696f937d69dd4a7d0f91969ee6af,64c03d571752b846b8688891e05a29a00585291b54500957ef8488fed251187c,1.00000000,5,0,0
029,新经济周期的是与非,周期、通胀与人口,analysis,2011-08-29,day,7,02_markdown_articles/029_2011-08-29_新经济周期的是与非.md,OEBPS/text/article-029-analysis-2011-08-29-1tp9faf.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,4438,4056,0,,引言：美欧金融市场再起风云，全球经济恢复一波三折，中国政府刺激力竭难继，内需增长局谜云诡。新周期—假说还是传说？未来支持经济的因素何在？市场风险何在？本文讨论新周期的是与非、兼评全球金融动荡对中国经济和市场的影响。,025,retained_exact,b3a1235f216f41cca7ca5f68a48a57e8b75912754707824c9129688470b77e7a,ea7a4612e1d4fbb3019b6150bfd5157698795243e534cdc4e58e1f99923b1e12,1.00000000,5,0,0
030,通胀是股市的“情敌”,周期、通胀与人口,analysis,2011-09-13,day,5,02_markdown_articles/030_2011-09-13_通胀是股市的“情敌”.md,OEBPS/text/article-030-analysis-2011-09-13-hpt5hk.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,3034,2651,0,,近期市场对通货膨胀和股市之间的关系探讨很多，其中很多立足于美国经济金融史的现成结论，可能并不适用于中国。中国通胀与股市之间的关系复杂并且有趣，可以简单地概括为“情敌”关系，即开始时是“情人”，相互扶持，后期则变成“敌...,026,retained_exact,26ed2e4c52ac094ec7368f39b7168dd5cb8292d4eefcbdf4c635acb202dc1f87,519ea8c74745ed96bd2bd77c34aaf2e4a64dc1e61a16e59ddc4bf207557ab62b,1.00000000,0,0,0
031,固本培元,周期、通胀与人口,analysis,2012-06-29,day,14,02_markdown_articles/031_2012-06-29_固本培元.md,OEBPS/text/article-031-analysis-2012-06-29-ydl9ff.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,9428,8427,0,,在中长期跨度内，比如未来2-3年时间里，我们认为实体经济将经历U型调整。目前我们处于U型左侧正在形成底部的位置，左侧底部有望在今年2-3季度之间达到。,033,retained_exact,52c1c29fe3505277a8e594179a846a994fafb286f4c91f6cbab34d2e073390b9,ebb1a5a826509fdaad110559760e34929a4fbe102c0949acab4d37e82492c2ee,1.00000000,27,0,0
