article_id,title,category_display,internal_type,epub_xhtml,filename_date,display_date,date_precision,reading_minutes,excerpt,non_ws_chars,cjk_chars,heading_count_h2_h6,table_count,chart_table_count,image_reference_count,unique_image_file_count,footnote_reference_count
011,送别母亲,成长、追忆与评论,essay,OEBPS/text/article-011-essay-2024-02-18-1ifohxo.xhtml,2024-02-18,2024-02-18,day,3,今天，我们怀着十分悲伤的心情送别我的母亲，共同缅怀她勤劳节俭的一生，铭记她为养育我们姐弟六人而付出的艰辛和牺牲，感恩她用自己的善良和热情温暖了身边的每一个人，祝愿她在天堂之上与父亲顺利会合，希望他们的在天之灵能够用慈...,1959,1709,0,0,0,0,0,0
012,《金钱永不眠》书评,成长、追忆与评论,commentary,OEBPS/text/article-012-commentary-undated-12935ru.xhtml,,,unknown,2,评《金钱永不眠-资本世界的暗流涌动和金融逻辑》,1240,1112,0,0,0,0,0,0
013,一块金币引发的思考,代表作与研究方法,analysis,OEBPS/text/article-013-analysis-2009-09-09-cf40-193.xhtml,2009-09-09,2009-09-09,day,4,本文考察了彩金币“贵妃醉酒”的价格走势，发现彩金币价格的变化与股票市场在拐点和趋势上都十分类似，与其它类资产的表现也存在一定的相关性。而且，指数化的剔除黄金价格后的“贵妃醉酒”彩金币价格与股票市场的指数涨落的幅度也非...,2698,2183,0,0,0,5,5,0
014,三十年未有之变局——中国潜在增速的趋势转折,代表作与研究方法,representative,OEBPS/text/article-014-representative-2010-10-12-1b8qs6i.xhtml,2010-10-12,2010-10-12,day,10,这是作者与同事在2010年10月份撰写的一篇研究报告，主要讨论2011-2020年中国经济潜在增速的变化，以及由此对政策当局带来的挑战和潜在的市场影响。5年以后回头来看，这篇报告的基本想法似乎得到了或者正在得到验证。...,6857,6000,14,0,0,0,0,0
015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,代表作与研究方法,representative,OEBPS/text/article-015-representative-2011-04-27-e2sypg.xhtml,2011-04-27,2011-04-27,day,18,正确的方法有助于使我们更好地理解市场运行的内在逻辑，从而降低预测失败的概率。我们通过十个小故事，来讲述对研究方法的一些想法和体会。,12171,10916,1,0,0,0,0,0
016,中国经济是否经过了刘易斯拐点？,代表作与研究方法,analysis,OEBPS/text/article-016-analysis-2011-11-25-z31s07.xhtml,2011-11-25,2011-11-25,day,10,本文首先回顾了刘易斯拐点的概念，然后从理论上寻找经济走过刘易斯拐点的判别方法。中国的刘易斯拐点，正如暗物质一样，直接处理这个问题非常困难，比如我们很难观察到劳动力供应曲线的变化；我们缺乏工资和就业宏观层面可靠的统计数...,6666,5764,15,0,0,0,0,0
017,《经济运行的逻辑》前言,代表作与研究方法,analysis,OEBPS/text/article-017-analysis-2012-12-30-1fltqdh.xhtml,2012-12-30,2012-12-30,day,4,承蒙中国金融40人论坛的王海明秘书长一再催请，我将过去从事市场研究期间的一些想法进行了整理，并付梓印刷，以供对中国经济和资本市场有一些兴趣的人士参考和批评。,2473,2292,0,0,0,0,0,0
018,经济数据背后的逻辑,代表作与研究方法,analysis,OEBPS/text/article-018-analysis-2013-10-26-cf40-1458.xhtml,2013-10-26,2013-10-26,day,7,提要：无论是经济的总供给变化、总需求变化，还是国际环境的变化，均可对总产出、经常账户盈余和价格水平产生同步影响。基于此，文章的模型有三个收入变量：经济总供给、经济总需求和外部需求。这三个变量的变化会引起价格、总产出和...,4636,4027,0,0,0,13,13,0
019,市场预测的可能与不可能,代表作与研究方法,analysis,OEBPS/text/article-019-analysis-2014-09-18-z3ob9o.xhtml,2014-09-18,2014-09-18,day,5,2012年夏初，有位清华大学的研究生写信给我，谈到他在实习期间从事市场研究过程中的一些困惑，希望我能够提一些建议。以己昏昏，使人昭昭，这显然是我难以胜任的工作，并且还有误人子弟的风险。但想来想去，借这个机会谈一点我的...,3015,2743,0,0,0,0,0,0
020,中美贸易摩擦深处的忧虑,代表作与研究方法,representative,OEBPS/text/article-020-representative-2018-07-31-lrxbyg.xhtml,2018-07-31,2018-07-31,day,18,随着中国经济实力和综合国力的提升，世界经济无可避免地正在进入G2格局，这对目前的全球经济治理体系形成重大挑战，中美之间的摩擦和潜在冲突由此势所难免。,12351,11156,5,0,0,0,0,0
021,通胀趋势与风险分析,周期、通胀与人口,analysis,OEBPS/text/article-021-analysis-2009-09-29-cf40-203.xhtml,2009-09-29,2009-09-29,day,9,大概在十几年前，我就试图比较系统地考察中国通胀问题，当时花了很多精力，但始终一头雾水，不得要领。后来因为工作的原因，特别是过去六七年，几乎每年、每个季度都会面临对这个问题的分析和判断。在这个过程中，我逐步积累和形成了...,5848,5007,0,0,0,4,4,0
022,上升的地平线——刘易斯拐点与通胀裂口,周期、通胀与人口,analysis,OEBPS/text/article-022-analysis-2010-09-02-cf40-435.xhtml,2010-09-02,2010-09-02,day,18,未来几年中国CPI波动的中轴水平将出现系统性抬升，从过去十年2%的均值 水平上升到 3-4%。由于同期 PPI 的波动中轴大体稳定，CPI 与 PPI 之间将形成明 显的通货膨胀裂口。,11441,9289,0,0,0,33,33,0
023,2011看波段,周期、通胀与人口,analysis,OEBPS/text/article-023-analysis-2011-01-31-cf40-574.xhtml,2011-01-31,2011-01-31,day,3,2011年很难是一个单边上涨的牛市，一季度、四季度的表现将好于二季度、三季度,1438,1243,0,0,0,0,0,0
024,掀开货币的面纱之二– 产出缺口与通货膨胀,周期、通胀与人口,analysis,OEBPS/text/article-024-analysis-2011-06-08-nl9vt9.xhtml,2011-06-08,2011-06-08,day,7,在“面纱”系列一中我们已经看到用货币供应量来预测短期通货膨胀可能会有很大问题。在本文中作者分析了另一流行的通胀预测思路，即产出缺口方法。 利用这一方法预测中国通货膨胀形势，缺乏严密理论基础的，实践风险很大。我们在此感...,4628,4138,6,0,0,0,0,0
025,通货膨胀的理解框架,周期、通胀与人口,analysis,OEBPS/text/article-025-analysis-2011-06-17-1mbdi65.xhtml,2011-06-17,2011-06-17,day,7,在货币面纱系列中我们已经看到，无论是使用货币总量方法还是产出缺口方法来预测中国的中短期通货膨胀，在理论基础上和实践操作中恐怕都是有一些问题的。作者在本文中对中国通货膨胀的理解框架进行了进一步的思考。我们对通货膨胀的看...,4464,3972,5,0,0,0,0,0
026,潮水退去,周期、通胀与人口,analysis,OEBPS/text/article-026-analysis-2011-07-14-cf40-694.xhtml,2011-07-14,2011-07-14,day,17,本轮通货膨胀的潮水可能正在退去。我们预计通货膨胀的高点将在最近一两个月出现，随后通胀将波动下行，并在明年2季度下降到3%甚至更低的水平。,11701,10159,0,0,0,23,23,0
027,货币与通胀长期关系的简要回顾,周期、通胀与人口,analysis,OEBPS/text/article-027-analysis-2011-08-19-cf40-740.xhtml,2011-08-19,2011-08-19,day,8,货币主义一般认为在长期内货币与通胀之间存在稳定和紧密的联系；在一些研究中，有些学者进一步认为货币供应甚至在短期内都可以提供关于经济增长和通货膨胀的可靠预测。本系列以文献调查为基础，结合必要的经验数据，回顾和总结了货币...,4701,3943,0,0,0,6,6,0
028,掀开货币的面纱之三-中国的通货膨胀与货币供应,周期、通胀与人口,analysis,OEBPS/text/article-028-analysis-2011-08-22-1aj4ecp.xhtml,2011-08-22,2011-08-22,day,14,在掀开货币的面纱系列前两篇报告中我们提到，利用货币供应量和产出缺口预测中国的通货膨胀存在理论和实践上的困难。因此需要进一步分析影响中国通货膨胀的更为核心的因素。,9488,8481,5,0,0,0,0,0
029,新经济周期的是与非,周期、通胀与人口,analysis,OEBPS/text/article-029-analysis-2011-08-29-1tp9faf.xhtml,2011-08-29,2011-08-29,day,7,引言：美欧金融市场再起风云，全球经济恢复一波三折，中国政府刺激力竭难继，内需增长局谜云诡。新周期—假说还是传说？未来支持经济的因素何在？市场风险何在？本文讨论新周期的是与非、兼评全球金融动荡对中国经济和市场的影响。,4438,4056,5,0,0,0,0,0
030,通胀是股市的“情敌”,周期、通胀与人口,analysis,OEBPS/text/article-030-analysis-2011-09-13-hpt5hk.xhtml,2011-09-13,2011-09-13,day,5,近期市场对通货膨胀和股市之间的关系探讨很多，其中很多立足于美国经济金融史的现成结论，可能并不适用于中国。中国通胀与股市之间的关系复杂并且有趣，可以简单地概括为“情敌”关系，即开始时是“情人”，相互扶持，后期则变成“敌...,3034,2651,0,0,0,0,0,0
031,固本培元,周期、通胀与人口,analysis,OEBPS/text/article-031-analysis-2012-06-29-ydl9ff.xhtml,2012-06-29,2012-06-29,day,14,在中长期跨度内，比如未来2-3年时间里，我们认为实体经济将经历U型调整。目前我们处于U型左侧正在形成底部的位置，左侧底部有望在今年2-3季度之间达到。,9428,8427,27,0,0,0,0,0
032,总量扩张政策难解结构性失业问题,周期、通胀与人口,analysis,OEBPS/text/article-032-analysis-2014-04-20-cf40-1619.xhtml,2014-04-20,2014-04-20,day,9,提要：经济增长分别和城镇就业增速、工资增长之间存在非常紧密的联系。目前中国劳动力市场存在结构性问题，按年龄来分组，有一定工作经验的劳动力极其短缺，而45岁以上人群出现严重供过于求；从学历来看，对职高、技校和中专毕业生...,5825,5016,0,0,0,11,11,0
033,经济增长与城镇新增就业,周期、通胀与人口,analysis,OEBPS/text/article-033-analysis-2014-05-08-133h92r.xhtml,2014-05-08,2014-05-08,day,8,政府稳增长的一个重要考虑，甚至最为重要的考虑是保就业。,3053,2639,0,6,6,6,6,3
034,上升的地平线,周期、通胀与人口,analysis,OEBPS/text/article-034-analysis-2015-05-15-cf40-1953.xhtml,2015-05-15,2015-05-15,day,2,这是我们在2010年9月撰写的一篇研究报告，主要讨论中国低端劳动力市场的情况及其长期影响。,929,808,0,0,0,0,0,0
035,反思2016年的两种经济现象,周期、通胀与人口,analysis,OEBPS/text/article-035-analysis-2017-02-27-cf40-2467.xhtml,2017-02-27,2017-02-27,day,5,我个人觉得经济政策，包括面向政策的经济形势分析报告，一定要立足于预测。因为政策产生效果需要时间，经济形势报告一定是落脚在政策建议上，所以必须有预测。这是与学术研究非常重要的差异。,3369,2982,0,0,0,0,0,0
036,年内经济前高后低 中长期景气前景仍值得期待,周期、通胀与人口,analysis,OEBPS/text/article-036-analysis-2017-07-12-1s0j49i.xhtml,2017-07-12,2017-07-12,day,5,——《大浪淘沙》2017年中期策略会报告（三）,3420,2998,3,0,0,0,0,0
037,关于经济周期的一些看法,周期、通胀与人口,analysis,OEBPS/text/article-037-analysis-2017-09-07-cf40-2628.xhtml,2017-09-07,2017-09-07,day,5,在当下的财经媒体上，关于周期的讨论十分热闹；在一些社交媒体中，各方观点针锋相对，隔空交手，场面颇为火爆。一些看热闹的吃瓜群众调侃说，经济的周期姑且不论，分析员的情绪肯定是有周期的，显然这并非指由于女分析员生理周期变化...,2888,2637,0,0,0,0,0,0
038,知止不殆,周期、通胀与人口,analysis,OEBPS/text/article-038-analysis-2019-12-08-1c9smie.xhtml,2019-12-08,2019-12-08,day,38,在中国经济转型的回顾和评价部分，我们强调，过去8年中国的经济转型，与转型时期的日本、韩国和中国台湾相比，在经济增长率、城市化率、出口和制造业竞争力等指标上，中国的表现都是正常，甚至比较出色的。但同时也要看到，我国经济...,24339,20636,0,48,45,63,63,2
039,观察一季度经济数据的三个维度,周期、通胀与人口,analysis,OEBPS/text/article-039-analysis-2020-05-03-cf40-3357.xhtml,2020-05-03,2020-05-03,day,9,以2020年第一季度经济数据为基础，从经济增速的角度来看，疫情冲击下的经济增速下滑幅度是金融海啸的四倍。,6184,5612,0,0,0,9,9,0
040,关于中国通货膨胀形成机制的几点观察,周期、通胀与人口,analysis,OEBPS/text/article-040-analysis-2022-11-14-1x1gha2.xhtml,2022-11-14,2022-11-14,day,15,本文基于作者2022年10月份在北大汇丰商学院的演讲整理形成，主要讨论了1980年以来中国通货膨胀形成机制的两次重大结构性变化，分析了这些变化发生的宏观背景和微观机理，并对当前通货膨胀形成过程的新特点进行了探讨。,8500,6949,0,22,20,24,24,2
041,顺势而为,周期、通胀与人口,analysis,OEBPS/text/article-041-analysis-2023-06-13-1h21gmn.xhtml,2023-06-13,2023-06-13,day,18,过去三年疫情对发达和新兴经济体的中长期影响差异巨大。对发达国家而言，疫情后居民部门超额储蓄快速释放、劳动参与率下降。在这两股力量的交互作用下，发达经济体普遍经历了通胀中枢的上升和经济预期的改善，这些影响在股票、债券、...,10489,9119,0,23,23,23,23,3
042,针对当前中国经济问题的几点观察,周期、通胀与人口,analysis,OEBPS/text/article-042-analysis-2023-07-26-cf40-4507.xhtml,2023-07-26,2023-07-26,day,7,朱鹤、张斌和郭凯的演讲从不同侧面描绘了关于当前经济运行的丰富图景，并围绕最主要的政策争论进行了深入客观且全面的阐述，其对当前经济的观察、思考和判断，丰富和深化了我们对当下经济问题和政策选择的理解，有助于我们在更好地认...,4494,4071,0,0,0,0,0,0
043,稳住阵脚，徐图进取,流动性、利率与汇率,analysis,OEBPS/text/article-043-analysis-2010-11-11-cf40-497.xhtml,2010-11-11,2010-11-11,day,3,从三季度数据来看，经济增速已经从二季度的快速下降中稳住阵脚，出现了一些温和恢复的迹象。这一过程在未来一两个季度内可能仍将持续，但经济重拾强劲的上升势头可能尚需时日。毕竟房地产市场仍有很多压力需要逐步消除；财政政策，尤...,1448,1306,0,0,0,0,0,0
044,人民币国际化―――问题与思考,流动性、利率与汇率,analysis,OEBPS/text/article-044-analysis-2011-05-24-pk1kfh.xhtml,2011-05-24,2011-05-24,day,12,随着“国际板”渐行渐近，人民币国际化的讨论再度兴起。人民币距离国际储备货币还有多远？人民币国际化的利益何在？作者在本文中就人民币国际化的相关问题进行了思考。全文如下：,8097,7387,6,0,0,0,0,0
045,内需显著下降，流动性趋近拐点,流动性、利率与汇率,analysis,OEBPS/text/article-045-analysis-2012-02-20-1fnty3l.xhtml,2012-02-20,2012-02-20,day,4,（本文为2012年2月13日电话会议讨论内容）,2768,2503,5,0,0,0,0,0
046,短期内尾部风险下降，长期内尾部风险上升,流动性、利率与汇率,analysis,OEBPS/text/article-046-analysis-2013-06-26-1lqkujw.xhtml,2013-06-26,2013-06-26,day,1,随着央行调整政策立场，我们之前提出的在紧缩性货币政策条件下的三波冲击也将受到一定影响。基本的看法是：第一波得到控制；第二波还在发酵，破坏性可能会小一些；第三波还会发生，但程度有所缓和。长期来看，经济结构性问题如不解决...,627,576,0,0,0,0,0,0
047,潮起潮落,流动性、利率与汇率,analysis,OEBPS/text/article-047-analysis-2013-07-12-drn2d1.xhtml,2013-07-12,2013-07-12,day,18,本文首先讨论实体经济。金融危机以后，发达国家量化宽松政策，犹如一次次电击，带来了全球工业生产活动显著的脉冲式波动；也给过去几年中国的经济和市场运行，带来了很多完全基于国内因素难以理解的特征。,10173,8438,12,36,36,36,36,6
048,债券之殇,流动性、利率与汇率,analysis,OEBPS/text/article-048-analysis-2013-12-13-1j8ud9w.xhtml,2013-12-13,2013-12-13,day,13,对于此轮债券市场的“熊市”，我们从三个方面进行讨论：第一、实体经济过剩储蓄的收缩；第二、全球经济的恢复和货币政策预期的变化；第三、商业银行资产负债表的调整。,8927,8214,8,0,0,0,0,0
049,IPO注册制和利率市场化改革的代价,流动性、利率与汇率,analysis,OEBPS/text/article-049-analysis-2013-12-25-1sc4a6v.xhtml,2013-12-25,2013-12-25,day,3,12月6日高善文博士出席21世纪经济报道主办的2013年资本创新年会并发表主题演讲，讨论IPO注册制和利率市场化改革的代价。以下为主办方对发言内容的整理报道。,1555,1314,0,0,0,0,0,0
050,利率市场化与余额宝的兴起,流动性、利率与汇率,analysis,OEBPS/text/article-050-analysis-2014-04-21-1w4964r.xhtml,2014-04-21,2014-04-21,day,18,本文第一部分介绍利率市场化改革进程与利率市场化现状，以贷款利率放开、存款利率管制为前提，构建利率市场化模型，作为对现实条件下中国银行体系运作的近似，分析存款利率管制放开对存贷款利率以及银行利差造成的影响。我们发现其他...,12336,10849,8,0,0,0,0,0
051,小制度 大问题,流动性、利率与汇率,commentary,OEBPS/text/article-051-commentary-2014-06-17-1s84v5m.xhtml,2014-06-17,2014-06-17,day,10,本文讨论存贷比约束这一看似不起眼的法律条款在金融领域产生的一系列广泛的影响和严重的扭曲，是高善文博士为《清华金融评论》6月刊“影子银行风险与监管”专题撰写的评论文章。全文如下，供大家参阅。,5024,4588,0,4,4,4,4,0
052,汇率贬值出其不意，股市维稳增添变数,流动性、利率与汇率,analysis,OEBPS/text/article-052-analysis-2015-08-12-nxtdhp.xhtml,2015-08-12,2015-08-12,day,4,昨天（2015年8月11日）上午，人民银行调整了汇率中间价的形成方式，并借此实现了汇率的一次性贬值，今日开盘以来，现汇汇率继续贬值。,759,638,0,3,3,3,3,1
053,人民币汇率向何处去？,流动性、利率与汇率,analysis,OEBPS/text/article-053-analysis-2015-10-23-1a7mblf.xhtml,2015-10-23,2015-10-23,day,22,2015年8月11日上午，人民银行宣布调整人民币兑美元中间价形成方式。按照新的形成方式，当日中间价出现了一定幅度的贬值。,13461,11720,0,14,14,14,14,1
054,含章可贞,流动性、利率与汇率,analysis,OEBPS/text/article-054-analysis-2015-12-16-9ey7c3.xhtml,2015-12-16,2015-12-16,day,23,未来5年，我们认为通货膨胀的中枢水平会从此前的3.2%下降到1%。主要考虑农民工工资涨速将大幅放缓，国际能源和粮食市场转入明显熊市，国内粮食市场开始进入长期的调整格局，合并使得一般消费物价的涨速将大幅下降。,14105,11415,7,40,38,38,38,3
055,展望2016年中国经济可能面临的风险,流动性、利率与汇率,analysis,OEBPS/text/article-055-analysis-2016-01-23-cf40-2217.xhtml,2016-01-23,2016-01-23,day,5,提要：继续关注汇率高估、财政收缩和房地产去库存三方面因素对2016年经济增长的不利影响。首先，人民币汇率高估对出口活动形成的抑制，加剧了经济困难。811以来，人民币有所贬值，但高估问题还没有完全解决。第二，2014年...,3163,2546,0,0,0,9,9,0
056,货币剪刀差背后的秘密,流动性、利率与汇率,analysis,OEBPS/text/article-056-analysis-2016-08-11-1xw3jws.xhtml,2016-08-11,2016-08-11,day,13,过去一年多，实体部门活期存款增速攀升、定期存款增速回落、M1与M2增速差显著扩大并接近历史最高水平，引起各方普遍的关注和讨论。,6184,4988,0,13,12,12,12,2
057,做空成本攀升 离岸人民币短线走强,流动性、利率与汇率,analysis,OEBPS/text/article-057-analysis-2017-01-10-oi5ohh.xhtml,2017-01-10,2017-01-10,day,4,离岸人民币供应持续收紧，做空人民币成本攀升，致使1月4-5日香港离岸人民币对美元大涨。短期之内，离岸做空情绪或有缓解，但中期之内，考虑到美国经济动能和就业市场稳健，考虑到更积极财政政策和更快节奏加息的可能性，强势美元...,2515,2118,5,0,0,0,0,0
058,政策利率上调 货币政策趋紧,流动性、利率与汇率,analysis,OEBPS/text/article-058-analysis-2017-02-08-ped4oo.xhtml,2017-02-08,2017-02-08,day,5,从近期中央银行的一系列政策操作和对外表态来看，货币政策正在逐步收紧，其目的在于纠正2015年以来货币政策在操作上过于宽松的局面，促进防泡沫、去杠杆等重要目标。短期回购等政策利率的目标水平尚不清晰，一个猜测是，政策当局...,3380,2791,5,0,0,0,0,0
059,影子体系资金从“脱实向虚”到“脱虚向实”,流动性、利率与汇率,analysis,OEBPS/text/article-059-analysis-2017-07-10-1wa6qd7.xhtml,2017-07-10,2017-07-10,day,9,——《大浪淘沙》2017年中期策略会报告（二）,5724,4977,8,0,0,0,0,0
060,金融去杠杆对实体经济的冲击,流动性、利率与汇率,analysis,OEBPS/text/article-060-analysis-2017-07-29-cf40-2593.xhtml,2017-07-29,2017-07-29,day,8,与金融去杠杆相联系的银行间市场利率大幅上升对实体经济的影响，是前期市场关注的一个热点问题。对这一问题的研究以银行间债券市场利率的大幅上升在金融市场的全面扩散为起点，以其对实体经济的需求变化及对工业生产所可能产生的影响...,5089,4335,0,0,0,14,14,0
061,供应受限量跌价升 旺季需求有待检验,流动性、利率与汇率,analysis,OEBPS/text/article-061-analysis-2017-09-21-1x1xhed.xhtml,2017-09-21,2017-09-21,day,6,8月工增同比6%，较7月回落0.4个百分点，低于市场普遍预期，采掘和公用事业是主要拖累，制造业增速大体持平。,3775,3309,4,0,0,0,0,0
062,我对“将央行发行货币视为股权”这一理论的思考,流动性、利率与汇率,analysis,OEBPS/text/article-062-analysis-2017-11-16-cf40-2675.xhtml,2017-11-16,2017-11-16,day,3,把货币看成权益而不是看成负债，跟传统的观点相比毫无疑问是一种非常与众不同且具有启发性的想法。从公司金融的角度去提出基本框架和分析思路，去观察国家的资本结构，似乎也是顺理成章的。以下是我的思考：,1634,1482,0,0,0,0,0,0
063,真正的汇率市场化是最安全的堤坝,流动性、利率与汇率,analysis,OEBPS/text/article-063-analysis-2018-03-07-cf40-2760.xhtml,2018-03-07,2018-03-07,day,4,尽管在一些时候外汇储备不发生变动，央行看上去不对外汇市场交易做任何干预，但并不意味着央行对外汇市场不产生影响。央行拥有海量外汇储备，可以发行货币，还可以随时改变交易规则和管理制度，同时还能看透交易商的底牌，堪称外汇交...,2430,2206,0,0,0,0,0,0
064,出台救济政策比刺激政策更为紧迫,流动性、利率与汇率,analysis,OEBPS/text/article-064-analysis-2020-04-05-cf40-3328.xhtml,2020-04-05,2020-04-05,day,5,我主要围绕疫情导致的美元流动性危机及中国不同应对措施的得失利弊补充一些想法。,3092,2813,0,0,0,0,0,0
065,分析人民币汇率要避免的几个误区,流动性、利率与汇率,analysis,OEBPS/text/article-065-analysis-2020-11-07-cf40-3610.xhtml,2020-11-07,2020-11-07,day,3,最近一两个月，人民币汇率波动引起密切关注。对于汇率分析，我提几点建议。,1634,1474,0,0,0,0,0,0
066,走向2035的中国经济,流动性、利率与汇率,analysis,OEBPS/text/article-066-analysis-2021-02-10-cf40-3694.xhtml,2021-02-10,2021-02-10,day,10,之所以选择展望2035年的中国经济，一个重要的原因在于我国正处于21世纪第三个十年的起点上，而21世纪第三个十年对中国的改革开放和经济社会发展都具有极其重要的转折性意义。这种意义主要体现在以下三个方面：,6336,5445,0,0,0,8,8,0
067,当前金融市场调整或于7月前结束　短期波动背后的若干事实值得注意,流动性、利率与汇率,analysis,OEBPS/text/article-067-analysis-2021-03-10-cf40-3709.xhtml,2021-03-10,2021-03-10,day,7,我想补充的第一个事实是，美债收益率的上升并非独立现象，而是在全球主要经济体长端债券收益率普遍上升的背景下出现的。,4664,4181,0,0,0,0,0,0
068,对近期经济金融形势的观察与研判,流动性、利率与汇率,analysis,OEBPS/text/article-068-analysis-2022-05-31-cf40-4048.xhtml,2022-05-31,2022-05-31,day,4,首先分享下我对全球长期国债利率、各国汇率、主要权益市场指数的观察，并重点分析我国金融市场在过去几个月的表现。,2465,2185,0,0,0,0,0,0
069,事情正在起变化,资本市场与金融风险,analysis,OEBPS/text/article-069-analysis-2010-12-14-cf40-525.xhtml,2010-12-14,2010-12-14,day,3,信贷紧缩预期同样压制了股票估值的上行空间，未来会有结构性的机会，但出现趋势性行情的概率较低。,1424,1265,0,0,0,0,0,0
070,资产重估理论概述之三：资产配置优化——实体经济与金融市场的共同调整,资本市场与金融风险,analysis,OEBPS/text/article-070-analysis-2011-12-08-w0p4t8.xhtml,2011-12-08,2011-12-08,day,4,资产配置优化：实体经济与金融市场的共同调整,2727,2502,3,0,0,0,0,0
071,向死而生,资本市场与金融风险,analysis,OEBPS/text/article-071-analysis-2011-12-15-1bxk9k7.xhtml,2011-12-15,2011-12-15,day,16,欧债危机和全球经济的减速、房地产投资的快速下降、企业盈利的恶化，以及短期内的存货调整正在推动经济较快下行。在1-2年的跨度内，可以支持经济逐步稳定下来的因素包括：政府基建投资的重新上升（主要是在建和续建项目），消费企...,9197,8114,0,17,17,17,17,2
072,货币政策扩张与资产价格重估——资产重估理论之五,资本市场与金融风险,analysis,OEBPS/text/article-072-analysis-2012-07-13-t5sgzj.xhtml,2012-07-13,2012-07-13,day,6,在资产重估理论之四中，我们以2005-2007年期间的案例为基础，讨论了实体经济领域的总供应扩张在大类资产市场上形成的影响，并与期间的经验证据进行了比对。本文以2009年年初到2010年年中的案例为基础，兼顾其他一些...,3549,3084,3,0,0,0,0,0
