article_id,title,date,category,image_count,image_alts,article_md,note
040,关于中国通货膨胀形成机制的几点观察,2022-11-14,周期、通胀与人口,24,图1：中美PPI 同比，% | 图2：CPI 和核心CPI，% | 图表 | 图3：中国PPI 和CPI 食品分项当季同比，% | 图4：农产品和生产资料价格指数同比，% | 图5：农产品资料价格和农村人均农业纯收入同比，% | 图6：各类食品价格对第二产业GDP 缩减指数的相关系数，% | 图7：各类食品价格对第二产业GDP 缩减指数的弹性，% | 图8：中国PPI 和CPI 食品分项当季同比，% | 图9：各类食品价格对第二产业GDP 缩减指数的相关系数，% | 图10：各类食品价格对第二产业GDP 缩减指数的弹性，% | 图表 | 图表 | 图11：农民工月均工资和城镇就业工资比例，元，% | 图12：总体和分产业劳动生产效率年均增长率，% | 图13：2013-2019 年产出缺口与核心CPI，% | 图14：全国居民恩格尔系数，% | 图15：各经济体CPI 中食品烟酒分项权重，% | 图16：农村居民支出中非现金占比，% | 图17：城镇和农村居民消费中非现金支出比率，% | 图18：农村居民当年新增银行存款占总储蓄比重，% | 图19：不同规模生猪饲养户数 | 图20：生猪生产成本：规模养殖/散养，% | 图表,02_markdown_articles/040_2022-11-14_关于中国通货膨胀形成机制的几点观察.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
041,顺势而为,2023-06-13,周期、通胀与人口,23,图1：MSCI 发达市场指数，点 | 图2：各发达经济体股价指数，点 | 图3：发达国家国债收益率，% | 图4：发达国家核心CPI 同比，% | 图5：MSCI 新兴市场指数，点 | 图6：发展中国家股价指数，点 | 图7：新兴经济体美元债收益率和本币债收益率，% | 图8：发展中国家国债收益率，% | 图9：发展中国家核心CPI 同比，% | 图10：放开后正常状态发达国家GDP 环比折年率，% | 图11：放开后正常状态发展中国家GDP 环比折年率，% | 图12：发达国家超额储蓄率，% | 图13：部分国家财政补贴力度与储蓄率偏离度，% | 图14：不同阶段家庭消费支出同比差值-GDP 同比差值，% | 图15：各国老龄人口劳动参与率2022 年较2019 年变化，% | 图16：美国绿卡发放人数，万人 | 图17：核心CPI 差值与55 岁以上人口劳动参与率差值，% | 图18：中国居民超额储蓄率，% | 图19：外出务工劳动力人数同比，% | 图20：外出务工劳动力工资月均收入同比，% | 图21：沪深300 与申万房地产指数 | 图22：不同阶段申万房地产相对沪深300 差额跌幅，% | 图23：A 股民营和国有房地产企业指数,02_markdown_articles/041_2023-06-13_顺势而为.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
047,潮起潮落,2013-07-12,流动性、利率与汇率,36,图1：房地产开发投资增速（%） | 图2：政府基础设施建设投资增速（%） | 图3：建筑业产出增速（%） | 图4：水泥产量增速（%） | 图5：用电量增速（%） | 图6：钢材产量增速（%） | 图7：限额以上餐饮服务业收入增速（%） | 图8：住宿餐饮业产出增速（%） | 图9：批发零售业业产出增速（%） | 图10：原煤产量增速（%） | 图11：铁矿石产量增速（%） | 图12：煤炭净进口占消费量的比例（%） | 图13：煤炭开采和洗选业利润增速（%） | 图14：煤炭开采和洗选业投资增速（%） | 图15：中美工业品价格波动（%） | 图16：中国出口波动（MA3，%） | 图17：贸易盈余表现（亿美元） | 图18：OECD 工业环比（MA3，%） | 图19：新兴经济体工业环比（MA3，%） | 图20：OECD 工业产出（MA3，%） | 图21：新兴经济体工业产出（MA3，%） | 图22：发达经济体与新兴经济体的比较（MA3，%） | 图23：PPI 环比（%） | 图24：新兴市场的汇率、股指和债券OAS | 图25：非金融A 股ROE | 图26：制造业投资增速（%） | 图27：欧洲同业拆借利差（%） | 图28：其他存款性公司国外净资产（十亿人民币） | 图29：外汇占款投放（亿人民币） | 图30：资本流入（亿人民币） | 图31：一年期NDF 市场人民币升值预期（%） | 图32：中国和十大新兴经济体兑美元汇率指数（2010 年1 月=100） | 图33：国债收益率（%，10 年期对应右轴） | 图34：银行间中短期票据收益率（%） | 图35：一般贷款加权利率与票据融资加权利率（右轴）（%） | 图36：贷款增速与社会融资规模增速（%）,02_markdown_articles/047_2013-07-12_潮起潮落.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
051,小制度 大问题,2014-06-17,流动性、利率与汇率,4,图1：2003年以来的外汇占款余额同比增速（%） | 图2：3个月、6个月保本理财产品与同期限银行定存利差（%） | 图3：61个月大额协议存款与同期限银行定存利差（%） | 图4：银行间债券收益率（%）,02_markdown_articles/051_2014-06-17_小制度_大问题.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
052,汇率贬值出其不意，股市维稳增添变数,2015-08-12,流动性、利率与汇率,3,图1：中国的境外美元主权债CDS 费率 | 图2：中国的境外美元主权债CDS 费率 | 图3：银行间10 年期国债到期收益率（%）,"02_markdown_articles/052_2015-08-12_汇率贬值出其不意,股市维稳增添变数.md",正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
053,人民币汇率向何处去？,2015-10-23,流动性、利率与汇率,14,图1：2015 年8 月11 日-10 月23 日人民币汇率走势 | 图2：2015 年8 月11 日-10 月23 日A 股走势 | 图3：2015 年8 月11 日-10 月23 日全球股市走势 | 图4：金融机构和中央银行新增外汇占款占GDP 比（%） | 图5：经常账户与商品贸易顺差占GDP 比（%） | 图6：2014 年经常项目细分情况（%） | 图7：商务部口径：FDI 与ODI 占GDP 比（%） | 图8：国际收支平衡表口径：FDI 与ODI 占GDP 比（%） | 图9：美元指数 | 图10：2014 年各国货物进出口总额（万亿美元） | 图11：2014 年各国服务进出口总额（万亿美元） | 图12：2014 年各国货物和服务进出口总额（万亿美元） | 图13：制造业增加值（亿美元） | 图14：制造业增加值，PPP 衡量2005 年不变价（亿国际元）,02_markdown_articles/053_2015-10-23_人民币汇率向何处去.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
054,含章可贞,2015-12-16,流动性、利率与汇率,38,图1：农民工工资及增速（元/天，%） | 图2：衣着加工服务费同比（%） | 图3：家庭服务与加工维修服务同比（%） | 图4：个人服务同比（%） | 图5：车辆使用与维修服务同比（%） | 图6：中国全口径外债余额（亿元，%） | 图7：BIS 外债统计：中国国债券余额及同比（按发行人国别区分） | 图8：城镇单位分行业职工平均工资（元/年） | 图9：农民工主要就业行业年工资（元/年） | 图10：国际农产品指数和原油价格 | 图11：小麦价格国内外比较（元/吨） | 图12：大米国内外比较（元/吨） | 图13：玉米国内外比较（元/吨） | 图14：经常账户与商品贸易顺差占GDP 比（%） | 图15：2014 年经常项目细项顺差（亿美元） | 图16：商务部：FDI、ODI 占GDP 比（%） | 图17：国际收支平衡表：FDI、ODI 占GDP 比（%） | 图18：国际收支基础差额占GDP 比（%） | 图19：证券投资与其他投资差额之和占GDP 比（%） | 图20：外汇占款口径资本流入占GDP 比（%） | 图21：NDF 市场人民币一年内升值预期（%） | 图22：对华出口占总出口比与汇率调整幅度散点图 | 图23：中国潜在GDP 增速，% | 图24：制造业增加值/服务业增加值的国际经验 | 图25：中国第三产业占GDP 比重 | 图26：中国和高收入国家第三产业行业占GDP 比重 | 图27：较发达国家占比差异较大的行业 | 图28：第三产业中“其他行业”增速，% | 图29：“其他行业”中细分行业占第三产业比重 | 图30：废弃资源综合利用业增速，% | 图31：计算机、通信和电子设备制造业增速，%% | 图32：工业增加值同比增速，% | 图33：广义财政支出 | 图34：发达经济体制造业PMI | 图35：中国进出口数量季度同比增速，% | 图36：OECD 综合领先指标 | 图37：上市房地产企业销售利润率 | 图38：商品房销售面积当季同比增速，%,02_markdown_articles/054_2015-12-16_含章可贞.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
055,展望2016年中国经济可能面临的风险,2016-01-23,流动性、利率与汇率,9,图1 中国出口量实际同比，% | 图2 全球出口实际增速，% | 图3 中国和全球出口量增速，% | 图4 对华进口变化和人民币汇率 | 图5 广义财政支出同比 | 图6 一般公共财政支出和其他支出同比 | 图7 上市房地产企业存货水平 | 图8 新开工与销售面积之差 | 图9 房地产存货水平,02_markdown_articles/055_2016-01-23_展望2016年中国经济可能面临的风险.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
056,货币剪刀差背后的秘密,2016-08-11,流动性、利率与汇率,12,图1：M1 同比增速劲升（%） | 图2：准货币细项（企事业单位定期存款、住户存款、其他存款）同比 | 图3：M1 与M2 增速的背离 | 图4：企业活期存款和居民活期存款同步增长 | 图5：M1 同比与GDP 名义同比（%） | 图6：证券市场交易结算资金余额 | 图7：商品房销售额当季同比（%） | 图8：银行定期（3 个月）与活期存款利率差（%） | 图9：理财预期收益率与定存利率的差（%） | 图10：银行理财产品余额及同比增速 | 图11：债券和公募基金份额 | 图12：资本流入占名义GDP 的比重（%）,02_markdown_articles/056_2016-08-11_货币剪刀差背后的秘密.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
060,金融去杠杆对实体经济的冲击,2017-07-29,流动性、利率与汇率,14,图1 银行间质押式回购利率：7天（MA5） | 图2 银行间债券到期收益率：国开债和AA+中票 | 图3 票据直贴利率（%） | 图4 金融机构加权贷款利率（%） | 图5 新增社融占GDP的比重 | 图6 社会融资规模余额同比（%） | 图7 工业增加值当月同比（%） | 图8 民间固定资产投资当季同比（%） | 图9 实际进出口同比（%） | 图10 钢材产量同比（%） | 图11 水泥产量同比（%） | 图12 房地产开发投资当季同比（%） | 图13 基础设施建设类投资当季同比（%） | 图14 公共财政支出与政府性基金支出同比（%）,02_markdown_articles/060_2017-07-29_金融去杠杆对实体经济的冲击.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
066,走向2035的中国经济,2021-02-10,流动性、利率与汇率,8,图1：转型中的实际GDP增速（%） | 图2 高收入国家人均国民收入门槛（美元） | 图3 高收入标准推测值 | 图3 高收入标准推测值 | 图4 各宗教文化经济体　GDP潜在实际增速（HP滤波） | 图5 转型中的实际有效汇率 | 图6 转型中的制造业实际工资 | 图7 转型中的实际有效汇率\*制造业实际工资,02_markdown_articles/066_2021-02-10_走向2035的中国经济.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
071,向死而生,2011-12-15,资本市场与金融风险,17,图1：OECD 工业生产和综合领先指标同比（%） | 图2：中国出口名义和实际增速（%） | 图3：中国和美国生产者价格同比（%） | 图4：中国外汇占款月度增量（亿人民币） | 图5：中国房地产开发投资同比（%） | 图6：中国粗钢和水泥产量同比（%） | 图7：名义和实际社会消费品零售增速季度同比（%） | 图8：电力、铁路和公路投资同比（%） | 图9：制造业固定资产投资同比（%） | 图10：东部和中西部地区工业增速（%） | 图11：分行业固定资产投资增速的比较（%） | 图12：金融机构人民币贷款加权平均利率（%） | 图13：加权贷款利率较基准利率上浮 | 图14：十年期国债收益率（月均，%） | 图15：票据直贴利率：6 个月（日度，%） | 图16：中国短期和中长期贷款增速（%） | 图17：名义GDP 增速（季度，%）,02_markdown_articles/071_2011-12-15_向死而生.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
079,见龙在田,2014-12-25,资本市场与金融风险,20,图表 | 图表 | 图表 | 图1：工业增加值当月同比（%） | 图2：中国PPI 和调整后的PPI 环比（%） | 图3：上市公司销售净利率（%） | 图4：上市公司销售净利率（%） | 图5：30 大中城市商品房销售面积（万平方米） | 图6：商品房销售面积和房地产开发投资当季同比（%） | 图7：财政支出同比增速MA3（%） | 图8：标普(扣除通胀)和大宗商品涨幅，% | 图9：5年期中票与同期限国开债利差，% | 图10：加权贷款利率，% | 图11：贷款类信托预期收益率，% | 图12：个人住房贷款加权平均利率，% | 图13：银行理财预期收益率，1周和2周（%） | 图14：银行保本理财预期收益率，% | 图15：1年和5年的国开债，% | 图16：贷款与其他融资余额同比，% | 图17：恒生AH股溢价指数，%,02_markdown_articles/079_2014-12-25_见龙在田.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
081,日乾夕惕,2015-07-02,资本市场与金融风险,22,图1：恒生AH 溢价指数（%） | 图2：AH 溢价-整体AH 股（%） | 图3：AH 溢价-金融石油石化以外的其他股票（%） | 图4：沪港通资金流向：北上资金减去南下资金，周度频率（亿人民币） | 图5：孟买指数 | 图6：印度五年期主权债CDS 费率（BP） | 图7：印度卢比对美元vs 新兴市场汇率指数（2012 年1 月1 日=100） | 图8：印度的资本流动（百万美元） | 图9：印度的经济增长（%） | 图10：三中全会决议公布后的人民币汇率 | 图11：三中全会决议公布后的中国主权债5 年期CDS 费率（BP） | 图12：中国主权债5 年期CDS 费率（BP） | 图13：季度热钱占GDP 比例（TTM） | 图14：中证全指 | 图15：加权贷款利率（%） | 图16：融资买入占市场成交额比重（%） | 图17：融资融券利率费率（%） | 图18：分级A 平均约定收益率和隐含收益率 | 图19：分级基金份额及占全部基金份额比重（亿，%） | 图20：广义财政支出增速（%） | 图21：餐饮收入同比增速与社会消费品零售同比增速（%） | 图22：住宿餐饮业和其他服务业工资增速（%）,02_markdown_articles/081_2015-07-02_日乾夕惕.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
085,守正待时,2016-07-07,资本市场与金融风险,21,图1：受反腐冲击城市和无冲击城市定基房价差 | 图2：受反腐冲击城市和无冲击城市房地产销售滚动增速差，% | 图3：受反腐冲击城市和无冲击城市房地产新开工滚动增速差，% | 图4：受反腐冲击城市和无冲击城市土地购置面积滚动同比，% | 图5：受反腐冲击城市和无冲击城市居民可支配收入增速差，% | 图6：受反腐冲击城市和无冲击城市小学在校生增速，% | 图7：普通小学在校生人数增速，% | 图8：全国小学适龄入学人口数，千人 | 图9：房地产销售和新开工增速当季同比增速，% | 图10：房地产存货变化情况，千平方米 | 图11：产能过剩行业分类 | 图12：产能过剩行业地理分布 | 图13：国有比重高的行业ROA 下降更加明显 | 图14：周期上升时ROA 越高，近期ROA 降幅越大 | 图15：PPI 环比增速，% | 图16：新增表外融资占新增广义社融的比重（%） | 图17：银行理财资金投向 | 图18：新增理财资金占M2 之比（%） | 图19：理财产品预期回报率（%） | 图20：理财产品预期回报率与同期限定存、同业拆借利率的差（%） | 图21：信用利差（5 年AA+与5 年国开利差，%）,02_markdown_articles/085_2016-07-07_守正待时.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
092,去杠杆之争,2018-05-31,资本市场与金融风险,39,图1：非金融企业部门杠杆率，% | 图2：各国非金融企业部门杠杆率比较，% | 图3：居民部门杠杆率，% | 图4：各国居民部门杠杆率比较，% | 图5：中央政府和地方政府杠杆率，% | 图6：各国政府部门杠杆率比较，% | 图7：城投企业杠杆率，% | 图8：全部非金融国有企业资产负债率，% | 图9：规上工业企业资产负债率 | 图10：非金融上市公司资产负债率 | 图11：各风格板块上市公司资产负债率 | 图12：全部非金融国有企业资产周转率 | 图13：规上工业企业资产周转率 | 图14：非金融上市公司资产周转率 | 图15：规上工业企业净资产同比与制造业投资同比，% | 图16：政府部门债务性收入同比增速，% | 图17：全国房地产非合意库存测算，千平方米 | 图18：制造业投资和民间投资当季同比，% | 图19：GDP 季度同比和工业增加值季度同比，% | 图20：金融机构人民币贷款加权平均利率，% | 图21：非证券投资类信托收益率，% | 图22：资本流动占GDP 比重，% | 图23：人民币汇率指数 | 图24：出口实际同比增速，% | 图25：全球出口实际同比，% | 图26：规上工业企业非流动资产增速，% | 图27：上市工业企业固定资产+在建工程同比，% | 图28：非贷款社融余额同比增速，% | 图29：金融机构人民币贷款加权平均利率，% | 图30：非证券投资类信托收益率，% | 图31：人民币汇率指数 | 图32：信用利差：央企、地方国企和民企，BP | 图33：民企信用利差-央企信用利差，BP | 图34：城投债信用利差，BP | 图35：中国5 年期主权债CDS 费率 | (1) 设定生产函数 | (2) 资产周转率 | (3) 资产周转率增速 | (4) 资产周转率提升需要满足,02_markdown_articles/092_2018-05-31_去杠杆之争.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
094,青山遮不住 毕竟东流去,2020-09-14,资本市场与金融风险,17,图1：上证综指、沪深300 和沪深300（除金融）指数，点 | 图2：沪深300 全收益指数，点 | 图3：沪深300（除金融）ROE，% | 图4：银行 ROE，% | 图5：制造业投资和工业名义同比，% | 图6：中国出口的国际份额，% | 图7：人民币实际有效汇率指数，点 | 图8：中国出口的国际份额（剔除原油），% | 图9：CFETS 人民币汇率指数，点 | 图10：中国和美国PPI 同比，% | 图11：PPI 同比真实值和拟合值，% | 图12：农村外出务工劳动力人数，万人 | 图13：CPI 衣着、居住、生活用品及服务同比，% | 图14：CPI 交通和通信、教育文化和娱乐、医疗保健，% | 图15：金融机构贷款加权利率：一般贷款 vs 住房贷款，% | 图16：商品房销售面积同比，% | 图17：70 城二手房房价环比，%,02_markdown_articles/094_2020-09-14_青山遮不住_毕竟东流去.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
097,中国影子银行兴起及其风险,,资本市场与金融风险,8,图1：M2 同比、社会融资规模余额同比、社会融资规模与外汇占款 | 图2：国债收益率（%） | 图3：人民币贷款加权利率（%） | 图4：贷款与法定存款准备金之和占商业银行存款的比例（%） | 图5：银行理财产品发行支数以及3-6 个月保本型理财产品与同期限 | 图6：企业部门短端资金融入增速与短端资金融出增速（%） | 图7：企业部门短端资金净融入/名义GDP | 图8：国债期限利差（10y-1y）（%）,02_markdown_articles/097_中国影子银行兴起及其风险.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
