chunk_id,article_id,title,date,thematic_category,chunk_index,section_path,primary_topic,topics,methodology_concepts,broad_observation_dimensions,exclusive_evidence_methods,non_ws_chars,overlap_non_ws_chars,prev_chunk_id,next_chunk_id,article_md,content_sha256
006-s007,006,时光的刻痕,2018-07-26,成长、追忆与评论,7,四、上海滩,研究方法与证据,研究方法与证据;股票与资本市场,国际与历史对标,主体资产负债表,时序与领先滞后,267,206,006-s006,006-s008,02_markdown_articles/006_2018-07-26_时光的刻痕.md,93dbc07e0dbc24aa394450c5969f3cd154284affcf88faeb685a55260718188d
006-s008,006,时光的刻痕,2018-07-26,成长、追忆与评论,8,五、江湖之远,研究方法与证据,研究方法与证据;股票与资本市场,国际与历史对标,主体资产负债表,时序与领先滞后,913,188,006-s007,006-s009,02_markdown_articles/006_2018-07-26_时光的刻痕.md,7dd48783dcb07fbba62330e33045149b6a899159ed82ec6936e0b6697071960b
006-s009,006,时光的刻痕,2018-07-26,成长、追忆与评论,9,五、江湖之远,研究方法与证据,研究方法与证据;股票与资本市场,国际与历史对标,主体资产负债表,时序与领先滞后,664,201,006-s008,,02_markdown_articles/006_2018-07-26_时光的刻痕.md,64d8511cc68ff73a8e7720434547e87cb1f9cb0e77729cd28ee0d93d4db6de45
007-s001,007,关于北京大学秦宛顺靳云汇奖学基金的问答,2020-12-18,成长、追忆与评论,1,一、秦宛顺靳云汇是谁？,研究方法与证据,研究方法与证据,,,,278,0,,007-s002,02_markdown_articles/007_2020-12-18_关于北京大学秦宛顺靳云汇奖学基金的问答.md,976096a943bf0da36d9e2a889a855a82218aec484aa392ccd085d5af79c977b4
007-s002,007,关于北京大学秦宛顺靳云汇奖学基金的问答,2020-12-18,成长、追忆与评论,2,一、秦宛顺靳云汇是谁？,研究方法与证据,研究方法与证据,,,,428,206,007-s001,,02_markdown_articles/007_2020-12-18_关于北京大学秦宛顺靳云汇奖学基金的问答.md,f2e00ef9dc0c2077a401da540b30617e948d1371bb88c90e0ad41c4d53b8f56b
008-s001,008,悼词——李勇先生,2021-10-01,成长、追忆与评论,1,正文,研究方法与证据,研究方法与证据;疫情冲击与宏观应对,,,自然实验与制度冲击,1048,0,,008-s002,02_markdown_articles/008_2021-10-01_悼词——李勇先生.md,46fbd0ee7e728e30f875b8043c41811b6c0c17e75348f2160b4aec9ee16b3181
008-s002,008,悼词——李勇先生,2021-10-01,成长、追忆与评论,2,正文,研究方法与证据,研究方法与证据;疫情冲击与宏观应对,,,自然实验与制度冲击,925,201,008-s001,,02_markdown_articles/008_2021-10-01_悼词——李勇先生.md,7b14a2274719a57a2dc64ea6077503ebbdef1a19728e3b6c7d8e83b8b6a48f50
009-s001,009,岁月如歌,2021-10-11,成长、追忆与评论,1,正文,研究方法与证据,研究方法与证据;货币与流动性,国际与历史对标,,,905,0,,009-s002,02_markdown_articles/009_2021-10-11_岁月如歌.md,1a1731993c4565fceb07af37d3a39d9fc5c5927196dc343a18aef82cd095b353
009-s002,009,岁月如歌,2021-10-11,成长、追忆与评论,2,正文,研究方法与证据,研究方法与证据;货币与流动性,国际与历史对标,,,609,200,009-s001,,02_markdown_articles/009_2021-10-11_岁月如歌.md,56939b20ce09108f8a310ce405c2f5792468be893d0e34888c0c1211522554b0
010-s001,010,《投资中国》书评,2022-07-22,成长、追忆与评论,1,正文,研究方法与证据,研究方法与证据;股票与资本市场,情景与预测复盘,,自然实验与制度冲击,972,0,,010-s002,02_markdown_articles/010_2022-07-22_《投资中国》书评.md,5fceaf40ff1c38adcbd2ce12d87e11e05c8c523de62b7135769dc31c7382a75d
010-s002,010,《投资中国》书评,2022-07-22,成长、追忆与评论,2,正文,研究方法与证据,研究方法与证据;股票与资本市场,情景与预测复盘,,自然实验与制度冲击,1054,199,010-s001,010-s003,02_markdown_articles/010_2022-07-22_《投资中国》书评.md,0ca97236f7efadaffa5092e218d4a459cad6555dc3956c25bbf3e9d13e3e7d71
010-s003,010,《投资中国》书评,2022-07-22,成长、追忆与评论,3,正文,研究方法与证据,研究方法与证据;股票与资本市场,情景与预测复盘,,自然实验与制度冲击,914,213,010-s002,,02_markdown_articles/010_2022-07-22_《投资中国》书评.md,9a31fa627d02d2cb1805bf6cee1bf524abd6a26f5969ccda9eddc32d597a7d0d
011-s001,011,送别母亲,2024-02-18,成长、追忆与评论,1,正文,研究方法与证据,研究方法与证据;疫情冲击与宏观应对,排他性证据,收入年龄与家庭分组,时序与领先滞后,920,0,,011-s002,02_markdown_articles/011_2024-02-18_送别母亲.md,7cfe6294104ee84a068c6f69ae8c881c10718fd9ad00ed685296612765f753f2
011-s002,011,送别母亲,2024-02-18,成长、追忆与评论,2,正文,研究方法与证据,研究方法与证据;疫情冲击与宏观应对,排他性证据,收入年龄与家庭分组,时序与领先滞后,1039,202,011-s001,,02_markdown_articles/011_2024-02-18_送别母亲.md,07f3399ff1422aff460b2c3c2d4c67b6f3b876185f8140ec8c8c7b58c64e54ba
012-s001,012,《金钱永不眠》书评,,成长、追忆与评论,1,评《金钱永不眠》,研究方法与证据,研究方法与证据;股票与资本市场,,,自然实验与制度冲击,941,0,,012-s002,02_markdown_articles/012_《金钱永不眠》书评.md,9fd36f7d2d17432c7437d71cb55c438c359ac843b1fb3bef60f3828aff03df10
012-s002,012,《金钱永不眠》书评,,成长、追忆与评论,2,评《金钱永不眠》,研究方法与证据,研究方法与证据;股票与资本市场,,,自然实验与制度冲击,291,201,012-s001,,02_markdown_articles/012_《金钱永不眠》书评.md,4df6380f316ee62e45f9e1edf81a00257ff0c245adb5c35e25b7a56d2f5ebb63
013-s001,013,一块金币引发的思考,2009-09-09,代表作与研究方法,1,内容提要：,研究方法与证据,研究方法与证据;股票与资本市场;房地产与城市化,左侧—右侧判断,跨资产与市场谱系,多市场一致性;时序与领先滞后,900,0,,013-s002,02_markdown_articles/013_2009-09-09_一块金币引发的思考.md,cf62e8148660251e29ba83a30c65dd14501f86226aa8b6601ee998d8350ddcd2
013-s002,013,一块金币引发的思考,2009-09-09,代表作与研究方法,2,内容提要：,研究方法与证据,研究方法与证据;股票与资本市场;房地产与城市化,左侧—右侧判断,跨资产与市场谱系,多市场一致性;时序与领先滞后,926,196,013-s001,013-s003,02_markdown_articles/013_2009-09-09_一块金币引发的思考.md,6541e8a90085395909090a95c19add1c416d45f20603345cef2a3a8b9f67aa72
013-s003,013,一块金币引发的思考,2009-09-09,代表作与研究方法,3,内容提要：,研究方法与证据,研究方法与证据;股票与资本市场;房地产与城市化,左侧—右侧判断,跨资产与市场谱系,多市场一致性;时序与领先滞后,867,199,013-s002,,02_markdown_articles/013_2009-09-09_一块金币引发的思考.md,f876a9e09b3959d612a8741fd795b164b560d473aef2f0118ba905bcc0e0a649
014-s001,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,1,按语,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,475,0,,014-s002,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,2949fdc9fa05644703afae081bc6bf20867d298e66ea41f491b98b79c2649eb9
014-s002,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,2,内容提要,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,330,202,014-s001,014-s003,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,d46598bc11c6c7967eed3234da52c701abe9168bdb4be3f566a946f43d5a2392
014-s003,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,3,一、劳动力供应转折,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,473,209,014-s002,014-s004,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,803ad0cb54900efa39da6c6ab5c4eb8405c4d4bb33b53ca4861c33128848d478
014-s004,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,4,二、“三十年未有之变局”,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,304,206,014-s003,014-s005,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,08a56c09c5853ee25fbb3c81821e8b3c8c1d8e368805c3e047349e0cf4693d1c
014-s005,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,5,二、“三十年未有之变局” > （一）劳动力投入,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,415,205,014-s004,014-s006,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,6adddad8b99cc58e4a3dbf92b344ba94f347b7f3e2241022144bfc557a91d1c2
014-s006,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,6,二、“三十年未有之变局” > （二）资本投入,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,1033,203,014-s005,014-s007,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,ce9c954b0b97b6d6c24e5742e2bc8975907039bb763e886141672e9fab4590f8
014-s007,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,7,二、“三十年未有之变局” > （二）资本投入,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,333,203,014-s006,014-s008,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,c20a33bdee019a59ce8a4ef2c1440df4ae4d24018cb9040f41f78929554e1f34
014-s008,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,8,二、“三十年未有之变局” > （三）技术进步,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,462,214,014-s007,014-s009,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,ca0f45f9a3fcafbb30bfe991a895d2afb5d79b41f96ec033fbda79178d6d3c97
014-s009,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,9,二、“三十年未有之变局” > （四）资本系数,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,582,201,014-s008,014-s010,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,99baea8caa66758f7976f21c4803cad1a10a1769528a687d5bb59e2325f34d47
014-s010,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,10,三、中国经济增速的趋势转折,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,313,209,014-s009,014-s011,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,018b18655a70dc6c248d96d3e72e00d434cf3837c75cfdf9cdf5bf9a69eeb0bd
014-s011,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,11,四、潜在经济增速下降的风险 > （一）潜在经济增速下降的经验事实,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,1077,214,014-s010,014-s012,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,e13d941f3010c588dfd6671ba0e088cd6697208ab584f21edff522ba8d38bd00
014-s012,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,12,四、潜在经济增速下降的风险 > （一）潜在经济增速下降的经验事实,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,306,205,014-s011,014-s013,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,55bcbf8ea1326a7a8b50d9960741b4b269b210c0b4fe7d5fa6406588e4744e6d
014-s013,014,三十年未有之变局——中国潜在增速的趋势转折,2010-10-12,代表作与研究方法,13,四、潜在经济增速下降的风险 > （二）潜在增速下降与调整的一般模式,潜在增长与人口,潜在增长与人口;产业升级与制造业;增长与总需求;消费收入与就业;通胀与价格;研究方法与证据;能源资源与碳转型;贸易与全球经济,国际与历史对标;情景与预测复盘;左侧—右侧判断;总量—结构拆分,国内国际与资本流动,时序与领先滞后;会计与存量流量约束,600,214,014-s012,,02_markdown_articles/014_2010-10-12_三十年未有之变局——中国潜在增速的趋势转折.md,3728e697ff363ba623699aa1379f8cc018746fa81af1f12301169161869cb003
015-s001,015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,2011-04-27,代表作与研究方法,1,内容提要,研究方法与证据,研究方法与证据,可证伪假说;因果与相关区分;情景与预测复盘;国际与历史对标;排他性证据,主体资产负债表,负向预测与证伪阈值;反证与不相容事实;时序与领先滞后,273,0,,015-s002,02_markdown_articles/015_2011-04-27_光线是可以弯曲的–关于研究方法的一些体悟和浅见.md,1342dc499a8cf5ab099a2173fc7c21d1eedd0e616c82e748bcfcb54f0ef2893d
015-s002,015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,2011-04-27,代表作与研究方法,2,内容提要,研究方法与证据,研究方法与证据,可证伪假说;因果与相关区分;情景与预测复盘;国际与历史对标;排他性证据,主体资产负债表,负向预测与证伪阈值;反证与不相容事实;时序与领先滞后,288,199,015-s001,015-s003,02_markdown_articles/015_2011-04-27_光线是可以弯曲的–关于研究方法的一些体悟和浅见.md,2434ee79a5d2dd41c5cc952dd3b7a4e07c91cfc46a94c1259d2313e4d7647af7
015-s003,015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,2011-04-27,代表作与研究方法,3,内容提要 > 1 ．非洲蚂蚁如何找家？,研究方法与证据,研究方法与证据,可证伪假说;因果与相关区分;情景与预测复盘;国际与历史对标;排他性证据,主体资产负债表,负向预测与证伪阈值;反证与不相容事实;时序与领先滞后,978,205,015-s002,015-s004,02_markdown_articles/015_2011-04-27_光线是可以弯曲的–关于研究方法的一些体悟和浅见.md,33e9154b2422bce9d029e5fbc9e6d50e3ef3207376f9bb0558d677e416f8e5e2
015-s004,015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,2011-04-27,代表作与研究方法,4,内容提要 > 1 ．非洲蚂蚁如何找家？,研究方法与证据,研究方法与证据,可证伪假说;因果与相关区分;情景与预测复盘;国际与历史对标;排他性证据,主体资产负债表,负向预测与证伪阈值;反证与不相容事实;时序与领先滞后,516,204,015-s003,015-s005,02_markdown_articles/015_2011-04-27_光线是可以弯曲的–关于研究方法的一些体悟和浅见.md,d29089121928d9c7cb698f0f295bd2391f881cf572d968f8ea4151f15811fd09
015-s005,015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,2011-04-27,代表作与研究方法,5,内容提要 > 2 ．重的物体比轻的物体下落得更快,研究方法与证据,研究方法与证据,可证伪假说;因果与相关区分;情景与预测复盘;国际与历史对标;排他性证据,主体资产负债表,负向预测与证伪阈值;反证与不相容事实;时序与领先滞后,941,206,015-s004,015-s006,02_markdown_articles/015_2011-04-27_光线是可以弯曲的–关于研究方法的一些体悟和浅见.md,4d5df1125f797721d42151f60337314fc33d26e387c091aca45ad5dcb083c07c
015-s006,015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,2011-04-27,代表作与研究方法,6,内容提要 > 2 ．重的物体比轻的物体下落得更快,研究方法与证据,研究方法与证据,可证伪假说;因果与相关区分;情景与预测复盘;国际与历史对标;排他性证据,主体资产负债表,负向预测与证伪阈值;反证与不相容事实;时序与领先滞后,260,203,015-s005,015-s007,02_markdown_articles/015_2011-04-27_光线是可以弯曲的–关于研究方法的一些体悟和浅见.md,4c4744944c60cec1d016f8926a41db4338b0f5bcb7a9fc453bdb82c3993c30c2
015-s007,015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,2011-04-27,代表作与研究方法,7,内容提要 > 3 ．光线是可以弯曲的,研究方法与证据,研究方法与证据,可证伪假说;因果与相关区分;情景与预测复盘;国际与历史对标;排他性证据,主体资产负债表,负向预测与证伪阈值;反证与不相容事实;时序与领先滞后,295,201,015-s006,015-s008,02_markdown_articles/015_2011-04-27_光线是可以弯曲的–关于研究方法的一些体悟和浅见.md,6110190213d82c58aace0e25df7842de43513cebe3b4d440b93b04b9a57dc8c5
015-s008,015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,2011-04-27,代表作与研究方法,8,内容提要 > 4 ．民可使由之，不可使然之,研究方法与证据,研究方法与证据,可证伪假说;因果与相关区分;情景与预测复盘;国际与历史对标;排他性证据,主体资产负债表,负向预测与证伪阈值;反证与不相容事实;时序与领先滞后,874,195,015-s007,015-s009,02_markdown_articles/015_2011-04-27_光线是可以弯曲的–关于研究方法的一些体悟和浅见.md,b58e7be34788af9c6196a66c0528bbbd39b7d4832d8aafb1c5e481691615cac3
015-s009,015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,2011-04-27,代表作与研究方法,9,内容提要 > 5 ．“下边，没有了”,研究方法与证据,研究方法与证据,可证伪假说;因果与相关区分;情景与预测复盘;国际与历史对标;排他性证据,主体资产负债表,负向预测与证伪阈值;反证与不相容事实;时序与领先滞后,494,197,015-s008,015-s010,02_markdown_articles/015_2011-04-27_光线是可以弯曲的–关于研究方法的一些体悟和浅见.md,adb031494fe8197f8ef917df805dfe164da724dee3f615218e34ac77ceed37ad
